ref,title,author,date,canon_degree,glob_word,glob_book,glob_part,glob_chapter,glob_paragraph,glob_sentence,glob_av_word_per_sent,glob_verb,glob_adverb,glob_adj,glob_coord,glob_sub,glob_il,glob_ils,glob_elle,glob_elles,glob_je,glob_nous,glob_etat,glob_voc,first_word,first_paragraph,first_sentence,first_av_word_per_sent,first_verb,first_adverb,first_adj,first_coord,first_sub,first_il,first_ils,first_elle,first_elles,first_je,first_nous,first_etat,first_voc,first_ten_word,first_ten_sentence,first_ten_av_word_per_sent,first_ten_verb,first_ten_adverb,first_ten_adj,first_ten_coord,first_ten_sub,first_ten_il,first_ten_ils,first_ten_elle,first_ten_elles,first_ten_je,first_ten_nous,first_ten_etat,first_ten_voc,mid_word,mid_paragraph,mid_sentence,mid_av_word_per_sent,mid_verb,mid_adverb,mid_adj,mid_coord,mid_sub,mid_il,mid_ils,mid_elle,mid_elles,mid_je,mid_nous,mid_etat,mid_voc,last_word,last_paragraph,last_sentence,last_av_word_per_sent,last_verb,last_adverb,last_adj,last_coord,last_sub,last_il,last_ils,last_elle,last_elles,last_je,last_nous,last_etat,last_voc,last_ten_word,last_ten_sentence,last_ten_av_word_per_sent,last_ten_verb,last_ten_adverb,last_ten_adj,last_ten_coord,last_ten_sub,last_ten_il,last_ten_ils,last_ten_elle,last_ten_elles,last_ten_je,last_ten_nous,last_ten_etat,last_ten_voc,titled_books,titled_parts,titled_chapters,numbered_books,numbered_parts,numbered_chapters
1850_Lamartine-Alphonse-de_Genevieve--histoire-d-une-servante.xml,Geneviève : histoire d'une servante    ,"Lamartine, Alphonse de",1850,empty,97478,0,0,206,1107,2647,33,9111,5919,3833,3633,1184,757,102,619,55,1070,431,2131,4836,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9747,261,36,797,563,449,387,84,46,14,26,6,73,33,216,1625,398,5,8,41,35,21,9,14,4,1,4,2,0,8,1,6,157,1194,34,46,20,132,61,44,49,9,7,0,3,0,14,1,27,337,9747,275,34,951,511,377,377,112,83,11,49,2,104,36,188,1306,0,0,175,0,0,203
1850_Dumas-Alexandre_La-Tulipe-noire.xml,La Tulipe noire,"Dumas, Alexandre Père",1850,empty,85199,0,0,33,2943,3005,19,8323,4869,3960,2512,805,955,87,254,11,464,192,1926,4662,3548,78,80,23,297,203,182,103,32,31,12,1,0,5,15,58,872,8519,257,31,814,491,389,275,79,87,20,3,2,42,52,167,1433,3086,105,114,21,352,206,143,87,25,35,1,7,0,23,1,55,750,2075,50,56,20,174,101,104,63,17,21,2,15,1,2,1,53,564,8519,255,32,789,427,411,283,74,87,9,38,1,30,11,190,1431,0,0,33,0,0,33
1980_Siniac-Pierre_L-unijambiste-de-la-cote-284.xml,L'unijambiste de la cote 284    ,"Siniac, Pierre",1980,empty,62839,0,0,11,1223,2740,18,5765,4291,2905,1766,538,575,88,192,7,418,100,1560,4992,232,4,6,30,6,7,21,7,1,0,0,0,0,0,0,2,119,6283,215,27,528,397,340,188,54,31,15,2,2,48,19,139,1246,10410,244,452,17,931,649,583,276,93,77,14,65,2,27,4,277,1588,12802,309,610,17,1185,1003,627,334,121,94,3,58,1,138,13,344,1888,6283,325,18,638,494,298,162,65,38,3,40,0,63,6,161,1182,0,0,9,0,0,2
1852_Dumas-Alexandre_La-comtesse-de-Charny.xml,La comtesse de Charny,"Dumas, Alexandre Père",1852,empty,603081,0,0,183,20133,18398,22,57698,29908,22922,17293,5088,6465,786,2432,141,3027,1558,14844,10605,3495,118,70,30,247,185,134,98,40,43,1,3,0,8,20,80,724,60308,1750,33,5737,3434,2255,1770,622,766,56,347,14,383,164,1534,3804,3148,104,85,14,315,156,107,107,15,24,17,1,0,18,6,77,671,1799,85,62,14,192,67,67,54,15,9,1,12,0,10,2,32,413,60308,1915,30,5848,2859,2484,1748,468,604,83,242,14,228,131,1451,4048,0,0,183,0,0,178
1886_Valles-Jules_L-Insurge.xml,L'Insurgé    ,"Vallès, Jules",1886,empty,79441,0,0,35,3154,2649,18,7006,3998,3002,2582,679,661,159,71,16,587,330,2049,6037,3215,107,96,20,254,173,126,116,26,37,2,1,1,49,5,79,875,7944,258,29,694,416,281,268,60,64,8,11,2,108,6,186,1612,2533,97,93,17,207,145,76,78,15,16,11,4,0,9,9,61,711,326,19,17,10,23,14,13,7,5,0,0,0,0,7,1,17,151,7944,316,24,747,436,304,242,74,71,18,8,1,56,55,232,1599,0,0,0,0,0,35
1886_Malot-Hector_Baccara.xml,Baccara    ,"Malot, Hector",1886,empty,111561,0,4,43,451,3032,32,10559,8527,3905,3079,1226,2635,257,640,64,605,389,3514,4653,2461,10,41,52,155,129,133,78,20,24,21,7,2,0,0,79,649,11156,230,47,902,715,483,337,92,173,35,114,11,22,33,340,1670,2449,9,55,42,218,237,75,81,31,88,12,15,0,0,0,84,524,2648,12,80,32,298,172,89,71,35,65,7,34,0,25,3,72,551,11156,340,31,1238,739,366,297,110,275,20,109,6,81,45,308,1406,0,4,6,0,0,0
1967_Simenon-Georges_Le-voleur-de-Maigret.xml,Le voleur de Maigret    ,"Simenon, Georges",1966,empty,47994,0,0,9,2451,1533,13,4793,3641,1872,1063,472,558,72,193,3,321,90,1477,3302,6641,364,373,12,666,524,275,153,57,86,4,12,0,31,3,178,1145,4799,262,17,466,357,206,109,45,64,3,10,0,16,2,132,952,7126,352,205,13,706,526,301,135,76,58,7,47,0,68,17,248,1236,1138,42,63,12,116,97,46,33,13,36,2,4,0,6,1,37,372,4799,174,26,510,400,169,108,48,78,10,15,1,33,8,151,904,0,0,9,0,0,9
1934_Dabit-Eugene_Un-mort-tout-neuf.xml,Un mort tout neuf    ,"Dabit, Eugène",1934,empty,49153,0,0,4,1353,2828,14,4908,2839,1994,1098,446,805,165,342,15,237,71,1166,3525,15460,464,940,13,1591,886,600,302,148,279,52,120,2,78,16,382,1921,4915,290,15,522,295,170,111,52,79,19,70,2,23,7,132,954,10656,319,576,13,1018,597,483,246,96,147,30,87,0,53,22,247,1747,9835,256,517,16,969,523,428,256,73,120,45,30,10,27,7,228,1462,4915,264,17,487,267,229,125,33,41,29,18,6,16,5,111,971,0,0,4,0,0,0
1907_Zevaco-Michel_L-epopee-d-amour.xml,L'épopée d'amour    ,"Zévaco, Michel",1907,empty,203574,0,0,50,7274,7491,16,21466,10052,9715,5408,1575,2221,332,717,96,1045,430,4699,6921,1889,71,54,22,185,92,97,51,22,27,3,30,0,6,5,39,511,20357,847,22,2099,1075,969,579,188,244,15,80,7,127,43,493,2466,5608,167,193,18,642,271,244,156,38,57,12,15,0,25,18,138,1092,3811,112,110,25,348,175,212,109,27,31,6,26,1,8,6,101,960,20357,553,35,1989,933,1054,504,123,231,28,75,2,61,25,439,2604,0,0,50,0,0,50
1862_Villiers-de-l-Isle-Adam-Auguste_Isis.xml,Isis    ,"Villiers de l'Isle-Adam, Auguste",1862,empty,36524,0,0,15,525,1274,25,3084,1946,2243,1146,294,198,43,312,13,170,73,871,3970,592,16,33,15,41,32,44,13,3,5,1,3,0,2,0,17,249,3652,160,21,327,191,221,106,15,19,4,19,0,25,3,98,918,3558,56,112,28,292,194,234,114,25,11,5,70,0,2,2,72,980,2468,31,89,26,210,103,177,87,16,25,2,16,0,6,1,54,776,3652,121,29,331,183,228,125,24,40,3,25,0,24,1,92,988,0,0,15,0,0,14
