ref,title,author,date,canon_degree,word_count,book_count,part_count,chapter_count,paragraph_count,sentence_count,verb_count,titled_book_count,titled_part_count,titled_chapter_count
1951_Rebatet-Lucien_Les-Deux-Etendards.xml,Les Deux Étendards    ,"Rebatet, Lucien",1952,empty,564753,0,0,39,7969,27350,46544,0,0,39
1956_Simenon-Georges_Maigret-voyage.xml,Maigret voyage    ,"Simenon, Georges",1956,empty,46041,0,0,8,1938,1701,4260,0,0,8
1991_Bauchau-Henry_Diotime-et-les-lions.xml,Diotime et les lions    ,"Bauchau, Henry",1991,empty,13843,0,0,0,105,597,1292,0,0,0
1847_Collin-de-Plancy-Jacques-Albin-Simon-(1794-1881)_Legende-du-Juif-Errant.xml,Légende du Juif-Errant    ,"Collin de Plancy, Jacques-Albin-Simon (1794-1881)",1847,empty,103474,0,0,24,2074,4319,10723,0,0,24
1861_Rocca-Maria-della-(nee-Embden-Heine-pseud-Camille-Henry-Princesse)_Le-Roman-d-une-femme-laide.xml,Le Roman d'une femme laide    ,"Rocca, Maria della (née Embden-Heiné, pseud. Camille Henry, Princesse)",1861,empty,63986,0,0,8,20,1723,6471,0,0,0
1996_Le-Clezio-Jean-Marie-Gustave_Poisson-D-or.xml,Poisson D'or    ,"Le Clézio, Jean-Marie Gustave",1996,empty,84895,0,0,1,154,4195,6791,0,0,1
1995_Vargas-Fred_Debout-les-morts.xml,Debout les morts    ,"Vargas, Fred",1995,empty,86895,0,0,34,2343,6350,9158,0,0,0
1977_Ernaux-Annie_Ce-qu-ils-disent-ou-rien.xml,Ce qu'ils disent ou rien    ,"Ernaux, Annie",1977,empty,43905,0,0,0,31,1643,3859,0,0,0
2013_Poulain-Jules_Le-Dartmoor-ou-les-Deux-soeurs-scenes-de-la-vie-anglaise.xml,"Le Dartmoor, ou les Deux soeurs, scènes de la vie anglaise    ","Poulain, Jules",2013,empty,44802,0,0,8,867,1545,4668,0,0,8
1843_Doutre-Joseph_Les-fiances-de-1812.xml,Les fiancés de 1812    ,"Doutre, Joseph",1843,empty,73643,0,2,19,958,3567,7423,0,2,19
2013_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar-(Tome-2).xml,"La Vierge de l'Indostan, ou les Portugais au Malabar (Tome 2)    ","Barthélemy-Hadot, Marie-Adélaïde",2013,empty,40489,0,0,9,12,1467,4406,0,0,9
1924_Istrati-Panait_Les-Recits-d-Adrien-Zograffi-Volume-II.xml,Les Récits d'Adrien Zograffi - Volume II    ,"Istrati, Panaït",1924,empty,52450,0,0,3,1252,1806,5353,0,0,3
1984_Daeninckx-Didier_Meurtres-pour-memoire.xml,Meurtres pour mémoire    ,"Daeninckx, Didier",1984,empty,58331,0,0,1,1292,3121,5340,0,0,1
1848_Chateaubriand-François-Rene-de_Memoires-d-Outre-Tombe-Tome-2.xml,"Mémoires d'Outre-Tombe, Tome 2    ","Chateaubriand, François-René de",1848,empty,127095,7,1,1,1340,3821,10670,7,1,1
1895_Tardivel-Jules-Paul_Pour-la-patrie.xml,Pour la patrie    ,"Tardivel, Jules-Paul",1895,empty,73855,0,0,36,1229,3320,6811,0,0,36
1954_San-Antonio_Du-mouron-a-se-faire.xml,Du mouron à se faire    ,San-Antonio,1954,empty,41602,0,0,1,1921,1109,4214,0,0,1
1950_Simenon-Georges_Maigret-au-Picratt-s.xml,Maigret au Picratt's    ,"Simenon, Georges",1950,empty,53499,0,0,9,2489,3073,5087,0,0,9
1949_Simenon-Georges_Mon-ami-Maigret.xml,Mon ami Maigret    ,"Simenon, Georges",1948,empty,52567,0,0,9,2094,2950,4847,0,0,9
1944_Simenon-Georges_L-Improbable-Monsieur-Owen.xml,L'Improbable Monsieur Owen    ,"Simenon, Georges",1944,empty,12429,0,0,3,541,377,1227,0,0,3
1868_Ponson-du-Terrail-Pierre_Rocambole-Les-Miseres-de-Londre-Tome-II-L-Enfant-perdu.xml,Rocambole - Les Misères de Londre- Tome II - L'Enfant perdu    ,"Ponson du Terrail, Pierre",1868,empty,80431,0,2,58,4834,4310,8532,0,2,21
2013_Jourde-Pierre_La-premiere-pierre.xml,La première pierre    ,"Jourde, Pierre",2013,empty,60000,0,0,17,20,2297,4993,0,0,17
2009_Grimbert-Philippe_Le-monde-d-Edward-Craft-Tome-1-Les-bas-de-Larguevent.xml,Le monde d'Edward Craft - Tome 1 - Les bas de Larguevent    ,"Grimbert, Philippe",2009,empty,0,0,0,53,91,0,0,0,0,53
2013_Geiger-Anna-(pseud-Maria-Bogor-Mlle)_Souvenirs-de-femme.xml,Souvenirs de femme    ,"Geiger, Anna (pseud. Maria Bogor, Mlle)",2013,empty,47841,0,0,5,5,2320,4884,0,0,5
2013_Saint-Ogan-Claude-(pseud-Claude-Saint-Jan)_Claude-Saint-Jan-a-la-belle-etoile.xml,Claude Saint-Jan. À la belle étoile    ,"Saint-Ogan, Claude (pseud. Claude Saint-Jan)",2013,empty,48322,0,0,20,20,2773,5651,0,0,4
1996_Bergounioux-Pierre_La-mort-de-Brune.xml,La mort de Brune    ,"Bergounioux, Pierre",1996,empty,38323,0,0,10,191,1225,3094,0,0,2
1919_Loti-Pierre_Prime-jeunesse.xml,Prime jeunesse    ,"Loti, Pierre",1919,empty,42502,0,0,52,467,679,3374,0,0,27
1897_Roussel-Raymond_La-doublure.xml,La doublure    ,"Roussel, Raymond",1897,empty,53970,0,0,6,5781,1010,5534,0,0,6
1827_Vidocq-Eugene-François_Memoires-de-Vidocq-Tome-IV.xml,Mémoires de Vidocq - Tome IV    ,"Vidocq, Eugène-François",1827,empty,87997,0,0,33,1616,3192,7990,0,0,33
1994_Rolin-Olivier_Port-Soudan.xml,Port-Soudan    ,"Rolin, Olivier",1994,empty,28204,0,0,13,107,724,2307,0,0,0
1858_Feval-Paul-(pere)_La-fabrique-de-mariages-Vol-I.xml,"La fabrique de mariages, Vol. I    ","Féval, Paul (père)",1858,empty,46682,0,0,23,1652,2939,4467,0,0,15
2013_Mettais-Hippolyte-(Dr)_Les-Amours-d-un-tribun.xml,Les Amours d'un tribun    ,"Mettais, Hippolyte (Dr)",2013,empty,94255,0,0,23,26,3777,9431,0,0,8
1878_Chevalier-H-Emile_La-fille-du-pirate.xml,La fille du pirate    ,"Chevalier, H.-Émile",1878,empty,59178,0,7,133,2051,2321,5527,0,7,35
1837_Aubert-de-Gaspe-Philippe_Le-chercheur-de-tresors.xml,Le chercheur de trésors    ,"Aubert de Gaspé, Philippe",1837,empty,31293,0,0,15,686,937,3238,0,0,15
1919_Leroux-Gaston_Le-Capitaine-Hyx-Aventures-effroyables-de-M-Herbert-de-Renich-Tome-I.xml,Le Capitaine Hyx - Aventures effroyables de M. Herbert de Renich - Tome I    ,"Leroux, Gaston",1919,empty,89379,0,0,34,2050,1471,8565,0,0,34
1921_Leroux-Gaston_Cheri-Bibi-et-Cecily.xml,Chéri-Bibi et Cécily    ,"Leroux, Gaston",1921,empty,88623,0,0,15,2267,2673,9316,0,0,15
