ref,title,author,birth,sex,editor_name,editor_place,date_created,date_issued,genre,canon_degree,glob_word,glob_book,glob_part,glob_chapter,glob_nouvelle,glob_paragraph,glob_sentence,glob_av_word_per_sent,glob_av_word_per_chap,glob_av_word_per_nouvelle,glob_deviation,glob_name,glob_verb,glob_adverb,glob_adj,glob_coord,glob_sub,glob_il,glob_ils,glob_elle,glob_elles,glob_je,glob_nous,glob_etat,glob_voc,glob_full-stop,glob_comma,first_word,first_paragraph,first_sentence,first_av_word_per_sent,first_name,first_verb,first_adverb,first_adj,first_coord,first_sub,first_il,first_ils,first_elle,first_elles,first_je,first_nous,first_etat,first_voc,first_full-stop,first_comma,second_word,second_paragraph,second_sentence,second_av_word_per_sent,second_name,second_verb,second_adverb,second_adj,second_coord,second_sub,second_il,second_ils,second_elle,second_elles,second_je,second_nous,second_etat,second_voc,second_full-stop,second_comma,1/10_words,1/10_sentence,1/10_av_word_per_sent,1/10_name,1/10_verb,1/10_adverb,1/10_adj,1/10_coord,1/10_sub,1/10_il,1/10_ils,1/10_elle,1/10_elles,1/10_je,1/10_nous,1/10_etat,1/10_voc,1/10_full-stop,1/10_comma,2/10_word,2/10_sentence,2/10_av_word_per_sent,2/10_name,2/10_verb,2/10_adverb,2/10_adj,2/10_coord,2/10_sub,2/10_il,2/10_ils,2/10_elle,2/10_elles,2/10_je,2/10_nous,2/10_etat,2/10_voc,2/10_full-stop,2/10_comma,10/10_word,10/10_sentence,10/10_av_word_per_sent,10/10_name,10/10_verb,10/10_adverb,10/10_adj,10/10_coord,10/10_sub,10/10_il,10/10_ils,10/10_elle,10/10_elles,10/10_je,10/10_nous,10/10_etat,10/10_voc,10/10_full-stop,10/10_comma,mid_word,mid_paragraph,mid_sentence,mid_av_word_per_sent,mid_name,mid_verb,mid_adverb,mid_adj,mid_coord,mid_sub,mid_il,mid_ils,mid_elle,mid_elles,mid_je,mid_nous,mid_etat,mid_voc,mid_full-stop,mid_comma,last_word,last_paragraph,last_sentence,last_av_word_per_sent,last_name,last_verb,last_adverb,last_adj,last_coord,last_sub,last_il,last_ils,last_elle,last_elles,last_je,last_nous,last_etat,last_voc,last_full-stop,last_comma,titled_books,titled_parts,titled_chapters,numbered_books,numbered_parts,numbered_chapters,chapter1,chapter2,chapter3,chapter4,chapter5,chapter6,chapter7,chapter8,chapter9,chapter10,chapter11,chapter12,chapter13,chapter14,chapter15,chapter16,chapter17,chapter18,chapter19,chapter20,chapter21,chapter22,chapter23,chapter24,chapter25,chapter26,chapter27,chapter28,chapter29,chapter30,chapter31,chapter32,chapter33,chapter34,chapter35,chapter36,chapter37,chapter38,chapter39,chapter40,chapter41,chapter42,chapter43,chapter44,chapter45,chapter46,chapter47,chapter48,chapter49,chapter50,chapter51,chapter52,chapter53,chapter54,chapter55,chapter56,chapter57,chapter58,chapter59,chapter60,chapter61,chapter62,chapter63,chapter64,chapter65,chapter66,chapter67,chapter68,chapter69,chapter70,chapter71,chapter72,chapter73,chapter74,chapter75,chapter76,chapter77,chapter78,chapter79,chapter80,chapter81,chapter82,chapter83,chapter84,chapter85,chapter86,chapter87,chapter88,chapter89,chapter90,chapter91,chapter92,chapter93,chapter94,chapter95,chapter96,chapter97,chapter98,chapter99,chapter100,chapter101,chapter102,chapter103,chapter104,chapter105,chapter106,chapter107,chapter108,chapter109,chapter110,chapter111,chapter112,chapter113,chapter114,chapter115,chapter116,chapter117,chapter118,chapter119,chapter120,chapter121,chapter122,chapter123,chapter124,chapter125,chapter126,chapter127,chapter128,chapter129,chapter130,chapter131,chapter132,chapter133,chapter134,chapter135,chapter136,chapter137,chapter138,chapter139,chapter140,chapter141,chapter142,chapter143,chapter144,chapter145,chapter146,chapter147,chapter148,chapter149,chapter150,chapter151,chapter152,chapter153,chapter154,chapter155,chapter156,chapter157,chapter158,chapter159,chapter160,chapter161,chapter162,chapter163,chapter164,chapter165,chapter166,chapter167,chapter168,chapter169,chapter170,chapter171,chapter172,chapter173,chapter174,chapter175,chapter176,chapter177,chapter178,chapter179,chapter180,chapter181,chapter182,chapter183,chapter184,chapter185,chapter186,chapter187,chapter188,chapter189,chapter190,chapter191,chapter192,chapter193,chapter194,chapter195,chapter196,chapter197,chapter198,chapter199,chapter200,chapter201,chapter202,chapter203,chapter204,chapter205,chapter206,chapter207,chapter208,chapter209,chapter210,chapter211,chapter212,chapter213,chapter214,chapter215,chapter216,chapter217,chapter218,chapter219,chapter220,chapter221,chapter222,chapter223,chapter224,chapter225,chapter226,chapter227,chapter228,chapter229,chapter230,chapter231,chapter232,chapter233,chapter234,chapter235,chapter236,chapter237,chapter238,chapter239,chapter240,chapter241,chapter242,chapter243,chapter244,chapter245,chapter246,chapter247,chapter248,chapter249,chapter250,chapter251,chapter252,chapter253,chapter254,chapter255,chapter256,chapter257,chapter258,chapter259,chapter260,chapter261,chapter262,chapter263,chapter264,chapter265,chapter266,chapter267,chapter268,chapter269,chapter270,chapter271,chapter272,chapter273,chapter274,chapter275,chapter276,chapter277,chapter278,chapter279,chapter280,chapter281,chapter282,chapter283,chapter284,chapter285,chapter286,chapter287,chapter288,chapter289,chapter290,chapter291,chapter292,chapter293,chapter294,chapter295,chapter296,chapter297,chapter298,chapter299,chapter300,chapter301,chapter302,chapter303,chapter304,chapter305,chapter306,chapter307,chapter308,chapter309,chapter310,chapter311,chapter312,chapter313,chapter314,chapter315,chapter316,chapter317,chapter318,chapter319,chapter320,chapter321,chapter322,chapter323,chapter324,chapter325,chapter326,chapter327,chapter328,chapter329,chapter330,chapter331,chapter332,chapter333,chapter334,chapter335,chapter336,chapter337,chapter338,chapter339,chapter340,chapter341,chapter342,chapter343,chapter344,chapter345,chapter346,chapter347,chapter348,chapter349,chapter350,chapter351,chapter352,chapter353,chapter354,chapter355,chapter356,chapter357,chapter358,chapter359,chapter360,chapter361,chapter362,chapter363,chapter364
1967_Simenon-Georges_Le-voleur-de-Maigret.xml, Le voleur de Maigret ,"Simenon, Georges",1903,male,Presses de la Cité,Paris,1966,1966,"cycles et séries,policier",canon,47990,0,0,9,0,2451,1534,13,5332.222222222223,,2360.283763542944,115,8816,3641,1872,1063,472,558,72,193,3,321,90,1477,3302,1534,2849,6641,364,373,12,25,1102,524,275,153,57,86,4,12,0,31,3,178,1146,373,403,6828,374,179,15,45,1286,503,249,153,71,54,11,10,1,59,17,201,1191,179,367,4799,262,17,23,776,357,206,109,45,64,3,10,0,16,2,132,953,262,311,4799,181,25,23,926,404,167,95,42,38,4,8,1,47,10,140,939,181,232,4799,174,26,23,957,400,169,108,48,78,10,15,1,33,8,151,905,174,268,7123,352,205,13,36,1340,526,301,135,76,58,7,47,0,68,17,248,1236,205,428,1139,42,64,12,10,203,97,46,33,13,36,2,4,0,6,1,37,373,64,68,0,0,0,0,0,9,6641,6828,6786,6844,7123,6967,3180,2482,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964_Simenon-Georges_Maigret-se-defend.xml, Maigret se défend ,"Simenon, Georges",1903,male,Presses de la Cité,Paris,1963,1963,"cycles et séries,policier",canon,42561,0,0,9,0,1868,1489,14,4729.0,,1576.60703727974,115,7165,3076,1710,963,358,481,41,173,6,244,32,1172,3251,1489,2668,5144,237,218,14,23,822,325,209,120,49,46,5,21,1,16,1,148,1043,218,359,5486,179,222,15,26,956,410,214,119,46,82,0,23,1,37,3,157,1062,222,346,4256,187,21,20,664,257,170,92,42,40,4,8,1,12,1,115,934,187,302,4256,179,22,19,705,306,177,105,37,61,1,20,1,22,3,127,905,179,282,4257,128,32,19,748,326,159,93,31,59,3,24,1,28,0,123,895,128,260,5263,245,184,14,40,871,379,205,116,38,54,4,26,0,28,11,146,1083,184,303,546,39,17,6,7,93,29,12,7,4,7,1,0,0,2,0,20,233,17,35,0,0,1,0,0,8,5144,5486,5276,5518,5263,5115,5137,5076,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966_Simenon-Georges_Maigret-et-l-affaire-Nahour.xml, Maigret et l'affaire Nahour ,"Simenon, Georges",1903,male,Presses de la Cité,Paris,1966,1966,"cycles et séries,policier",canon,44239,0,0,8,0,2324,1750,13,5529.875,,2215.745565428099,142,7737,3223,1601,1083,328,464,59,202,7,254,55,1364,3103,1750,2396,6362,276,162,15,29,1116,473,243,168,45,62,19,28,0,44,12,188,1087,162,360,6039,404,262,13,53,1005,414,236,138,45,58,7,12,1,21,1,182,1101,262,321,4424,111,38,18,799,335,166,121,31,43,10,24,0,35,11,130,894,111,273,4424,132,32,42,709,295,184,105,30,42,15,5,1,21,2,132,930,132,229,4423,204,20,37,737,310,146,108,27,45,8,17,0,19,0,136,926,204,225,7494,467,443,12,44,1365,540,267,162,55,73,4,42,1,53,19,222,1172,443,334,1380,61,62,16,26,214,87,41,38,6,16,3,2,0,1,0,27,473,62,70,0,0,0,0,0,8,6362,6039,7151,6899,7494,6120,2794,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900_Eekhoud-Georges_La-faneuse-d-amour.xml, La faneuse d'amour ,"Eekhoud, Georges",1854,male,,,1900,1900,,non-canon,51386,0,0,34,0,794,1729,25,1511.3529411764705,,771.5752435804552,286,6542,2308,3136,1620,397,274,134,285,11,77,79,548,6440,1712,3637,515,6,20,21,10,63,30,40,17,1,3,0,3,0,0,0,4,252,20,39,760,10,32,23,3,68,34,77,32,4,0,2,6,0,0,0,5,341,32,52,5139,187,26,26,623,229,343,180,33,22,15,27,0,3,2,38,1551,187,376,5139,173,28,34,607,233,362,154,39,13,11,41,2,6,8,61,1604,173,328,5135,196,25,28,694,256,325,154,46,31,5,45,0,13,2,71,1386,196,378,1172,17,37,31,19,113,45,83,39,8,0,4,13,0,0,1,8,462,37,85,3341,65,123,20,25,503,196,181,103,30,30,2,38,0,13,2,57,934,123,236,0,0,0,0,0,34,515,760,1376,556,1491,1215,588,1521,593,1634,1757,1113,1793,1556,972,666,575,1172,832,2710,2274,2322,1119,1381,2133,3153,1777,3009,2042,1622,1561,670,1587,3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970_Simenon-Georges_Maigret-et-le-marchand-de-vin.xml, Maigret et le marchand de vin ,"Simenon, Georges",1903,male,Presses de la Cité,Paris,1970,1970,"cycles et séries,policier",canon,48274,0,0,8,0,2371,3151,12,6032.625,,2025.8765959808256,140,8623,3760,1778,1119,389,708,45,160,12,321,79,1608,3136,3151,2151,7079,407,486,11,41,1272,511,297,155,59,72,5,41,0,34,10,260,1148,486,303,7561,404,514,11,55,1272,606,340,182,50,86,13,39,4,39,17,244,1248,514,341,4827,332,13,39,859,333,210,114,45,37,4,36,0,22,3,174,948,332,195,4827,319,14,24,839,399,209,94,35,83,3,22,2,20,7,171,891,319,242,4831,322,13,32,929,399,148,110,45,55,3,12,0,74,5,190,859,322,207,7274,346,471,13,28,1380,584,240,167,64,131,4,21,0,46,9,247,1093,471,317,2308,108,167,11,20,449,197,68,53,22,19,2,2,0,34,3,95,538,167,99,0,0,1,0,0,8,7079,7561,7324,7194,7274,6108,3413,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968_Simenon-Georges_Maigret-hesite.xml, Maigret hésite ,"Simenon, Georges",1903,male,Presses de la Cité,Paris,1968,1968,"cycles et séries,policier",canon,46756,0,0,8,0,2437,1480,12,5843.375,,2181.0965091308676,129,8295,3517,1905,1017,463,523,35,244,13,279,68,1499,3335,1480,2836,7481,321,235,13,58,1217,549,323,188,63,76,6,16,2,39,11,218,1348,235,496,6886,343,269,13,40,1191,537,273,164,86,96,5,48,4,36,18,213,1199,269,379,4676,163,27,42,730,346,213,116,30,53,5,4,2,16,2,137,1039,163,306,4676,154,29,41,781,344,198,115,49,54,3,21,1,30,13,127,986,154,288,4672,153,29,25,852,310,162,86,38,57,2,20,0,25,5,146,885,153,267,6692,334,243,12,36,1216,460,240,133,59,69,5,41,2,30,2,235,1121,243,425,1359,73,63,12,14,241,71,49,24,11,18,2,8,0,3,1,38,415,63,73,0,0,0,0,0,8,7481,6886,7017,7190,6692,6525,3597,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968_Simenon-Georges_Maigret-a-Vichy.xml, Maigret à Vichy ,"Simenon, Georges",1903,male,Presses de la Cité,Paris,1968,1968,"cycles et séries,policier",canon,45938,0,0,8,0,2256,1330,15,5741.0,,2274.740361950285,136,7927,3574,1849,1041,381,398,100,357,11,150,61,1346,3313,1330,2716,7076,272,236,18,30,1036,550,360,181,57,59,29,27,0,19,6,186,1365,236,507,7972,327,212,16,42,1354,612,297,200,81,54,14,98,6,26,13,227,1300,212,478,4594,160,27,22,683,380,227,123,36,39,19,21,0,16,2,123,1042,160,334,4594,148,29,29,700,300,221,101,40,41,11,22,0,9,8,115,998,148,321,4592,93,48,23,931,388,150,93,39,46,2,36,0,25,7,156,901,93,245,5867,388,133,12,40,1099,492,217,102,52,46,5,41,0,22,11,206,996,133,269,1741,109,32,13,15,348,132,57,36,18,21,0,15,0,10,1,51,487,32,97,0,0,0,0,0,8,7076,7972,6688,7430,5867,6446,2708,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
