ref,title,author,date,canon_degree,glob_word,glob_book,glob_part,glob_chapter,glob_paragraph,glob_sentence,glob_av_word_per_sent,glob_av_word_per_chap,glob_deviation,glob_name,glob_verb,glob_adverb,glob_adj,glob_coord,glob_sub,glob_il,glob_ils,glob_elle,glob_elles,glob_je,glob_nous,glob_etat,glob_voc,first_word,first_paragraph,first_sentence,first_av_word_per_sent,first_name,first_verb,first_adverb,first_adj,first_coord,first_sub,first_il,first_ils,first_elle,first_elles,first_je,first_nous,first_etat,first_voc,second_word,second_paragraph,second_sentence,second_av_word_per_sent,second_name,second_verb,second_adverb,second_adj,second_coord,second_sub,second_il,second_ils,second_elle,second_elles,second_je,second_nous,second_etat,second_voc,1/10_words,1/10_sentence,1/10_av_word_per_sent,1/10_name,1/10_verb,1/10_adverb,1/10_adj,1/10_coord,1/10_sub,1/10_il,1/10_ils,1/10_elle,1/10_elles,1/10_je,1/10_nous,1/10_etat,1/10_voc,2/10_word,2/10_sentence,2/10_av_word_per_sent,2/10_name,2/10_verb,2/10_adverb,2/10_adj,2/10_coord,2/10_sub,2/10_il,2/10_ils,2/10_elle,2/10_elles,2/10_je,2/10_nous,2/10_etat,2/10_voc,3/10_word,3/10_sentence,3/10_av_word_per_sent,3/10_name,3/10_verb,3/10_adverb,3/10_adj,3/10_coord,3/10_sub,3/10_il,3/10_ils,3/10_elle,3/10_elles,3/10_je,3/10_nous,3/10_etat,3/10_voc,4/10_word,4/10_sentence,4/10_av_word_per_sent,4/10_name,4/10_verb,4/10_adverb,4/10_adj,4/10_coord,4/10_sub,4/10_il,4/10_ils,4/10_elle,4/10_elles,4/10_je,4/10_nous,4/10_etat,4/10_voc,5/10_word,5/10_sentence,5/10_av_word_per_sent,5/10_name,5/10_verb,5/10_adverb,5/10_adj,5/10_coord,5/10_sub,5/10_il,5/10_ils,5/10_elle,5/10_elles,5/10_je,5/10_nous,5/10_etat,5/10_voc,6/10_word,6/10_sentence,6/10_av_word_per_sent,6/10_name,6/10_verb,6/10_adverb,6/10_adj,6/10_coord,6/10_sub,6/10_il,6/10_ils,6/10_elle,6/10_elles,6/10_je,6/10_nous,6/10_etat,6/10_voc,7/10_word,7/10_sentence,7/10_av_word_per_sent,7/10_name,7/10_verb,7/10_adverb,7/10_adj,7/10_coord,7/10_sub,7/10_il,7/10_ils,7/10_elle,7/10_elles,7/10_je,7/10_nous,7/10_etat,7/10_voc,8/10_word,8/10_sentence,8/10_av_word_per_sent,8/10_name,8/10_verb,8/10_adverb,8/10_adj,8/10_coord,8/10_sub,8/10_il,8/10_ils,8/10_elle,8/10_elles,8/10_je,8/10_nous,8/10_etat,8/10_voc,9/10_word,9/10_sentence,9/10_av_word_per_sent,9/10_name,9/10_verb,9/10_adverb,9/10_adj,9/10_coord,9/10_sub,9/10_il,9/10_ils,9/10_elle,9/10_elles,9/10_je,9/10_nous,9/10_etat,9/10_voc,10/10_word,10/10_sentence,10/10_av_word_per_sent,10/10_name,10/10_verb,10/10_adverb,10/10_adj,10/10_coord,10/10_sub,10/10_il,10/10_ils,10/10_elle,10/10_elles,10/10_je,10/10_nous,10/10_etat,10/10_voc,mid_word,mid_paragraph,mid_sentence,mid_av_word_per_sent,mid_name,mid_verb,mid_adverb,mid_adj,mid_coord,mid_sub,mid_il,mid_ils,mid_elle,mid_elles,mid_je,mid_nous,mid_etat,mid_voc,last_word,last_paragraph,last_sentence,last_av_word_per_sent,last_name,last_verb,last_adverb,last_adj,last_coord,last_sub,last_il,last_ils,last_elle,last_elles,last_je,last_nous,last_etat,last_voc,titled_books,titled_parts,titled_chapters,numbered_books,numbered_parts,numbered_chapters
1839_Dumas-Alexandre_Aventures-de-Lyderic.xml,Aventures de Lyderic,"Dumas (père), Alexandre",1839,canon,30234,0,0,10,496,675,35,3023.4,999.4007315497734,68,4985,1451,1085,1117,330,635,38,181,27,64,15,726,2473,2338,23,55,37,20,373,127,84,79,21,51,0,33,0,0,1,43,575,1874,23,41,34,11,279,81,89,56,25,46,4,2,0,0,0,47,514,3023,70,41,20,468,156,110,103,30,66,3,35,0,0,1,62,671,3023,65,45,14,540,153,119,92,39,91,1,1,0,5,1,79,675,3023,62,46,24,497,145,91,108,29,65,8,12,0,12,2,68,681,3023,73,38,14,495,149,103,119,35,51,1,24,0,7,0,87,685,3023,49,58,22,466,155,99,134,30,70,1,6,0,12,2,58,639,3023,50,57,13,491,145,106,111,33,80,6,6,3,0,0,72,621,3023,68,43,14,482,126,149,109,33,48,5,19,6,5,5,77,700,3023,86,33,11,508,172,98,114,34,44,6,29,6,16,4,76,608,3023,84,34,15,545,140,90,118,36,54,2,40,0,5,0,71,622,3027,68,43,23,493,110,120,109,31,66,5,9,12,2,0,76,707,4809,44,80,54,16,776,235,162,189,55,136,4,10,1,4,0,106,818,2517,52,58,30,22,415,92,102,92,29,57,5,7,12,0,0,62,624,0,0,0,0,0,10
1859_Sand-George_Elle-et-Lui.xml,Elle et Lui,"Sand, George",1859,canon,77766,0,0,14,1223,2700,25,5372.642857142857,1424.9468873849762,91,13896,5730,3481,2875,862,946,44,715,10,822,141,2330,4142,7320,164,270,22,21,1274,622,307,285,102,67,3,57,1,118,4,232,1118,5418,104,203,21,9,1004,405,246,196,61,73,0,40,0,79,9,189,969,7777,296,25,27,1299,695,342,301,106,70,5,55,0,123,6,231,1138,7777,271,27,15,1423,591,335,286,94,89,2,45,1,128,10,256,1217,7777,256,29,18,1427,602,335,298,96,91,6,106,1,68,2,232,1243,7777,253,29,17,1401,575,371,298,82,118,11,95,0,35,18,237,1379,7777,313,23,10,1410,608,353,275,68,95,2,62,0,100,20,250,1257,7777,276,27,25,1396,523,336,249,83,118,7,78,0,54,13,210,1280,7777,212,35,29,1423,562,330,283,78,92,2,47,1,120,19,219,1279,7777,245,30,27,1374,551,364,294,101,86,3,62,1,100,22,237,1296,7777,276,26,18,1414,521,375,279,71,94,6,86,1,38,20,235,1270,7773,302,24,21,1329,502,340,312,83,93,0,79,5,56,11,223,1346,4558,74,161,24,18,763,285,236,138,48,58,4,37,0,28,3,121,976,2045,40,78,21,12,383,130,60,83,13,21,0,22,0,25,4,72,511,0,0,0,0,0,14
