ref,title,author,date_created,date_issued,genre,canon_degree,glob_word,glob_book,glob_part,glob_chapter,glob_nouvelle,glob_paragraph,glob_sentence,glob_av_word_per_sent,glob_av_word_per_chap,glob_av_word_per_nouvelle,glob_deviation,glob_name,glob_verb,glob_adverb,glob_adj,glob_coord,glob_sub,glob_il,glob_ils,glob_elle,glob_elles,glob_je,glob_nous,glob_etat,glob_voc,first_word,first_paragraph,first_sentence,first_av_word_per_sent,first_name,first_verb,first_adverb,first_adj,first_coord,first_sub,first_il,first_ils,first_elle,first_elles,first_je,first_nous,first_etat,first_voc,second_word,second_paragraph,second_sentence,second_av_word_per_sent,second_name,second_verb,second_adverb,second_adj,second_coord,second_sub,second_il,second_ils,second_elle,second_elles,second_je,second_nous,second_etat,second_voc,1/10_words,1/10_sentence,1/10_av_word_per_sent,1/10_name,1/10_verb,1/10_adverb,1/10_adj,1/10_coord,1/10_sub,1/10_il,1/10_ils,1/10_elle,1/10_elles,1/10_je,1/10_nous,1/10_etat,1/10_voc,2/10_word,2/10_sentence,2/10_av_word_per_sent,2/10_name,2/10_verb,2/10_adverb,2/10_adj,2/10_coord,2/10_sub,2/10_il,2/10_ils,2/10_elle,2/10_elles,2/10_je,2/10_nous,2/10_etat,2/10_voc,10/10_word,10/10_sentence,10/10_av_word_per_sent,10/10_name,10/10_verb,10/10_adverb,10/10_adj,10/10_coord,10/10_sub,10/10_il,10/10_ils,10/10_elle,10/10_elles,10/10_je,10/10_nous,10/10_etat,10/10_voc,mid_word,mid_paragraph,mid_sentence,mid_av_word_per_sent,mid_name,mid_verb,mid_adverb,mid_adj,mid_coord,mid_sub,mid_il,mid_ils,mid_elle,mid_elles,mid_je,mid_nous,mid_etat,mid_voc,last_word,last_paragraph,last_sentence,last_av_word_per_sent,last_name,last_verb,last_adverb,last_adj,last_coord,last_sub,last_il,last_ils,last_elle,last_elles,last_je,last_nous,last_etat,last_voc,titled_books,titled_parts,titled_chapters,numbered_books,numbered_parts,numbered_chapters
1910_Farrere-Claude_Les-petites-alliees.xml,Les petites alliées,male,1910,1912,,non-canon,78396,0,0,21,0,2090,2773,25,3723.0476190476193,,2379.0847499866513,215,11625,6289,4656,2681,682,416,74,380,48,493,160,1808,5508,4818,112,135,36,25,734,409,250,167,43,28,5,44,12,39,10,128,1014,2237,38,81,26,15,309,129,162,89,22,8,3,10,0,3,2,42,702,7840,240,31,38,1161,591,459,282,68,40,8,57,12,51,13,186,1516,7840,294,25,41,1165,716,482,294,72,59,9,61,4,23,5,197,1536,7836,295,25,38,1126,694,494,252,75,41,4,28,3,67,10,173,1439,7355,229,279,20,38,1157,578,429,225,65,37,14,28,1,40,27,169,1401,2633,110,127,18,22,350,188,185,80,24,10,4,2,2,7,3,44,786,0,0,21,0,0,5
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar-(Tome-1).xml,"La Vierge de l'Indostan, ou les Portugais au Malabar, par Mme Barthélemy-Hadot (1816), tome 1",female,1816,1816,roman historique,non-canon,35930,0,0,6,0,588,1236,23,5988.333333333333,,5361.888796559163,81,6511,2099,1493,900,261,445,40,245,5,404,68,1040,2562,1716,21,52,25,19,247,91,87,47,9,22,0,0,0,6,2,43,530,2166,33,64,24,14,334,122,124,54,20,36,2,10,1,12,2,58,597,3593,104,33,28,534,194,203,92,25,57,2,10,0,13,3,89,843,3593,147,23,19,658,271,139,93,27,48,1,23,2,48,9,133,666,3593,139,24,15,675,198,119,83,27,29,6,53,0,38,6,100,748,3191,45,101,25,13,590,171,126,75,17,47,1,25,0,31,1,90,727,8551,139,303,23,24,1625,515,337,201,59,114,8,87,2,85,14,248,1230,0,0,1,0,0,6
1854_Dumas-Alexandre-Pere_Les-Mohicans-de-Paris-6.xml,Les Mohicans de Paris 6,male,1853,1853,"cycles et séries,roman d'aventures",canon,186048,0,0,54,0,6749,6718,20,3445.3333333333335,,1605.6985078504642,501,30438,10671,6919,4989,1582,1664,137,534,28,1490,527,4435,6603,3563,131,139,19,16,619,179,150,96,39,56,3,1,0,12,3,95,726,6171,254,233,18,48,1072,415,225,181,54,76,3,8,0,65,15,194,1003,18605,649,27,76,3149,1113,689,504,185,261,14,21,2,122,59,506,1980,18605,609,29,82,3058,1040,606,485,149,221,8,21,1,155,55,432,2056,18603,712,25,141,2963,1043,698,466,173,105,8,131,4,135,61,422,2124,2949,82,96,22,21,398,142,171,79,25,4,6,15,3,13,4,65,698,394,26,28,1,27,27,7,10,4,2,1,2,0,0,0,2,5,170,0,0,0,0,0,54
1888_Malot-Hector_Conscience.xml,Conscience,male,1888,1888,,non-canon,116474,0,3,44,0,465,3196,32,2647.0,,135.50748713546216,135,21176,8722,4171,3528,1252,2518,150,1086,61,874,233,3673,4759,2506,10,53,41,16,400,143,110,82,23,44,4,6,3,4,5,76,700,2877,11,105,26,15,523,197,79,74,33,41,2,0,0,55,1,80,660,11647,374,29,35,2028,798,414,340,128,220,16,19,10,127,11,348,1719,11647,360,31,37,2046,884,404,340,128,188,36,66,6,149,29,350,1569,11651,287,39,20,2123,930,439,359,130,239,14,227,5,79,22,321,1469,2623,10,61,40,14,492,156,90,70,25,40,2,44,1,20,9,85,619,2514,10,54,42,7,428,172,118,82,18,35,0,4,1,35,4,67,676,0,3,0,0,0,44
2012_Djian-Philippe_Oh.xml,Oh...,male,2012,2012,,non-canon,69912,0,0,0,0,1186,3472,17,69912,,0,129,12742,5314,2660,2052,664,876,72,289,13,1200,328,2012,4631,2506,10,53,41,16,400,143,110,82,23,44,4,6,3,4,5,76,700,2877,11,105,26,15,523,197,79,74,33,41,2,0,0,55,1,80,660,6991,413,15,19,1268,620,273,180,68,51,8,21,0,122,18,215,1285,6991,393,16,34,1261,473,263,183,56,72,7,32,2,113,44,195,1391,6993,282,23,31,1275,504,271,261,76,117,8,26,3,139,33,176,1350,2623,10,61,40,14,492,156,90,70,25,40,2,44,1,20,9,85,619,2514,10,54,42,7,428,172,118,82,18,35,0,4,1,35,4,67,676,0,0,0,0,0,0
1845_Feval-Paul-(pere)_Les-Contes-de-nos-peres.xml,Les Contes de nos pères,male,1845,1845,nouvelles,non-canon,69001,0,0,21,5,1963,2899,19,3391.7619047619046,11000.8,2748.922969178327,274,10649,3554,3842,2046,465,563,88,249,34,270,115,1612,4837,13997,336,541,21,77,2121,730,737,419,98,124,29,47,3,42,27,313,2084,3296,64,127,21,48,456,166,191,96,22,21,3,3,2,13,3,80,890,6900,271,24,64,995,346,375,196,39,56,8,18,2,17,12,155,1433,6900,265,25,32,1103,373,346,216,59,65,21,29,1,24,15,153,1330,6901,275,24,28,1164,348,407,225,51,42,11,30,0,50,19,177,1267,3165,96,138,18,28,510,158,136,81,20,27,2,1,1,14,3,79,839,993,44,40,21,14,172,52,40,37,8,7,0,5,0,13,1,18,318,0,0,1,0,0,21
1960_Delly_Les-deux-fraternites_remastered.xml,Les deux fraternites,female,1960,1960,,non-canon,60250,0,0,20,0,1858,2529,18,3012.5,,1698.6696807238677,106,9958,3980,3424,1608,503,445,68,449,17,440,189,1390,3813,3996,128,134,25,17,617,238,294,123,32,30,4,11,1,20,26,82,943,7279,209,267,20,27,1166,497,411,219,70,53,27,41,0,50,40,169,1285,6025,208,27,26,927,368,417,195,51,43,7,28,1,27,31,128,1215,6025,221,26,26,986,421,343,169,59,44,24,29,0,49,37,151,1116,6025,260,22,20,1011,400,326,171,57,38,2,33,7,61,15,144,1041,2727,86,114,18,16,422,170,167,53,19,9,0,36,1,17,9,58,705,787,16,24,31,14,110,48,51,25,8,7,0,2,0,5,2,15,328,0,0,0,0,0,20
1845_Sue-Eugene_La-coucaratcha-Tome-I.xml,La coucaratcha - Tome I,male,1845,1845,roman d'aventures,canon,46325,1,3,29,0,1065,1469,23,1535.103448275862,,1074.356762533736,239,6980,2548,2817,1684,515,476,52,129,19,293,133,1149,3907,3670,140,171,12,24,601,172,198,131,38,35,10,2,0,39,24,89,801,2677,69,97,24,21,399,153,152,85,27,36,0,1,3,17,9,55,668,4632,160,27,49,711,232,283,172,54,37,13,2,1,46,25,96,1071,4632,188,23,30,695,226,271,161,48,59,3,3,4,25,15,96,980,4637,228,19,40,745,273,259,158,44,46,6,16,0,41,6,131,945,1217,16,23,26,11,156,46,99,38,8,1,1,0,1,2,1,21,414,72,2,4,22,6,8,2,6,3,0,0,2,0,0,0,0,2,50,1,3,15,1,3,23
1872_Guise-Charles-de_Helika-Memoire-d-un-vieux-maitre-d-ecole.xml,Hélika. Mémoire d'un vieux maître d'école,male,1872,1872,,non-canon,64103,0,0,23,0,857,2411,24,2787.086956521739,,1704.9665396088485,244,10415,3254,3132,1895,522,454,198,245,36,633,563,1615,4439,1455,23,51,23,2,230,72,81,52,18,17,2,1,1,6,55,36,457,1248,10,38,32,2,182,76,75,38,13,3,1,4,0,1,28,34,436,6410,227,27,9,994,353,413,208,73,41,8,28,6,32,146,170,1330,6410,225,27,12,1015,359,341,232,64,39,4,55,4,91,43,155,1268,6413,288,21,162,634,211,212,99,25,18,6,24,4,47,39,104,1054,1463,18,60,23,13,226,74,63,49,10,7,2,1,2,14,37,38,486,6045,64,272,20,159,564,187,186,89,22,15,3,24,4,41,39,85,973,0,0,0,0,0,23
1843_Dumas-Alexandre-Pere_Gabriel-Lambert.xml,Gabriel Lambert,male,1843,1843,,canon,47763,0,0,19,0,2067,2127,14,2513.842105263158,,884.4197258440068,125,8511,2903,1480,1345,461,586,44,93,12,813,141,1368,3033,2948,94,116,17,27,468,155,138,82,46,29,12,0,1,41,10,78,759,1982,74,71,23,10,356,112,50,55,16,17,1,4,0,44,8,57,486,4776,182,25,32,794,262,185,133,59,46,12,4,1,78,18,131,955,4776,180,25,39,860,311,144,128,57,79,4,6,1,83,25,148,773,4779,212,20,21,883,337,138,119,57,63,3,1,0,86,20,131,812,3347,180,190,12,16,602,224,95,102,17,27,1,31,0,61,6,103,615,796,48,19,28,15,133,31,26,22,7,9,0,0,0,7,2,21,280,0,0,0,0,0,19
